notification_id,sector,issuing_authority,portal_source,file_name,pages,scanned_or_native,has_real_corrigendum,collected_by,date_collected,notes
NOTIF_civilworks_01,civil works,"IIT (ISM) Dhanbad — Campus Maintenance Unit",CONFIRM_ME,NOTIF_civilworks_01.pdf,101,native,unknown,sripathidhruvreddy,2026-09-01,"eTender Notice CMU-12011/17/2026-CMU. Campus maintenance works."
NOTIF_supply_01,supply/procurement,"Greater Hyderabad Municipal Corporation (GHMC)",CONFIRM_ME,NOTIF_supply_01.pdf,68,native,unknown,sripathidhruvreddy,2026-09-01,"Tender No. 01/SE(Electrical)/GHMC/2024-25 dated 13.09.2024. 15500 LED street lights."
NOTIF_civilworks_02,civil works,"Hyderabad Growth Corridor Limited (HGCL)",CONFIRM_ME,NOTIF_civilworks_02.pdf,382,native,unknown,sripathidhruvreddy,2026-09-01,"13 MW AC rooftop solar PV EPC on cycle track. Largest document in the set."
NOTIF_interiorworks_01,interior works,"State Bank of India, RBO-6 Tehri Garhwal",www.tenderwizard.com/SBIETENDER,NOTIF_interiorworks_01.pdf,56,native,unknown,sripathidhruvreddy,2026-09-03,"Tender DEL/AO-3/RBO-6/AMCC/IN/01 dated 31.08.2026. Interior and allied civil works for the proposed AMCC branch at New Tehri."
